wallet_address,total_transactions,total_value,avg_value,gas_spent,unique_to_addresses,unique_from_addresses,first_tx,last_tx,success_rate,activity_days
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,100,5.225464129e+19,5.225464129e+17,235826553,81,77,2023-04-14 19:48:35+00:00,2025-06-16 21:15:11+00:00,0.99,795
0x06b51c6882b27cb05e712185531c1f74996dd988,5,2.430185e+16,4860370000000000.0,308732,4,3,2020-10-16 00:12:29+00:00,2020-10-16 00:19:32+00:00,1.0,1
0x0795732aacc448030ef374374eaae57d2965c16c,4,1.86e+16,4650000000000000.0,290793,3,3,2020-11-25 12:40:49+00:00,2020-11-25 13:13:37+00:00,1.0,1
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,80,2.018434948845327e+20,2.523043686056659e+18,132280277,55,51,2019-07-28 05:10:56+00:00,2025-03-25 19:18:59+00:00,1.0,2068
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,5,2.6004691e+16,5200938200000000.0,308720,4,3,2020-10-21 12:37:23+00:00,2020-12-24 09:47:49+00:00,1.0,64
0x104ae61d8d487ad689969a17807ddc338b445416,6,9.608856676e+17,1.6014761126666666e+17,357925,4,4,2020-12-16 04:56:09+00:00,2022-11-14 07:25:11+00:00,1.0,699
0x111c7208a7e2af345d36b6d4aace8740d61a3078,6,2.9013191e+16,4835531833333333.0,470577,4,3,2020-11-05 19:33:19+00:00,2020-11-05 20:20:19+00:00,1.0,1
0x124853fecb522c57d9bd5c21231058696ca6d596,7,3.4272474e+16,4896067714285714.0,594387,5,3,2020-11-08 04:53:00+00:00,2020-11-08 05:26:12+00:00,1.0,1
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,4,1.6e+16,4000000000000000.0,315925,3,3,2020-12-14 07:20:04+00:00,2020-12-14 07:25:50+00:00,1.0,1
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,100,8e+18,8e+16,32681779,7,2,2021-02-26 13:32:01+00:00,2025-03-31 02:01:23+00:00,0.98,1494
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,6,3866200000000000.0,644366666666666.6,369591,3,3,2021-06-06 00:01:40+00:00,2021-06-27 16:56:36+00:00,1.0,22
